;Value;Score
ANOnto;0.7473684210526316;4
TMOnto2;0.25263157894736843;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.2272262026612077;5
NOCOnto;2.5677966101694913;5
CBOOnto;1.0966183574879227;5
RFCOnto;3.3512767425810903;4
NOMOnto;2.2546583850931676;4
RROnto;0.27059611520428667;2
PROnto;0.7294038847957133;4
AROnto;1.3429951690821256;5
INROnto;0.8364389233954451;5
ANOnto;0.0;1
TMOnto2;1.0966183574879227;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.2345679012345678;5
NOCOnto;2.3013698630136985;5
CBOOnto;1.0909090909090908;5
RFCOnto;1.0909090909090908;5
NOMOnto;0.0;5
RROnto;1.0;5
PROnto;0.0;1
AROnto;0.0;1
INROnto;1.0909090909090908;5
ANOnto;1.1103896103896105;5
TMOnto2;1.0909090909090908;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.9901960784313726;1
NOCOnto;6.302631578947368;3
CBOOnto;0.9896694214876033;1
RFCOnto;0.9896694214876033;1
NOMOnto;0.0;5
RROnto;1.0;5
PROnto;0.0;1
AROnto;0.0;1
INROnto;0.9896694214876033;5
ANOnto;6.2272727272727275;5
TMOnto2;0.9896694214876033;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.6216216216216216;1
NOCOnto;2.1538461538461537;5
CBOOnto;0.54;1
RFCOnto;1.24;5
NOMOnto;0.7;5
RROnto;0.4444444444444444;3
PROnto;0.5555555555555556;3
AROnto;0.08;1
INROnto;0.56;3
ANOnto;1.52;5
TMOnto2;0.54;5
LCOMOnto;2.0;5
WMCOnto2;0.6666666666666666;5
DITOnto;2.0;5
NACOnto;0.5;1
NOCOnto;1.0;5
CBOOnto;1.0;5
RFCOnto;3.7142857142857144;4
NOMOnto;3.142857142857143;4
RROnto;0.043478260869565216;1
PROnto;0.9565217391304348;5
AROnto;0.0;1
INROnto;0.14285714285714285;1
ANOnto;1.8571428571428572;5
TMOnto2;0.5714285714285714;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.7142857142857143;1
NOCOnto;2.5238095238095237;5
CBOOnto;0.6883116883116883;1
RFCOnto;1.4675324675324675;5
NOMOnto;0.7792207792207793;5
RROnto;0.4690265486725664;3
PROnto;0.5309734513274337;3
AROnto;0.5064935064935064;3
INROnto;0.6883116883116883;4
ANOnto;2.3766233766233764;5
TMOnto2;0.6883116883116883;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.18181818181818182;1
NOCOnto;2.0;5
CBOOnto;0.25;1
RFCOnto;1.1666666666666667;5
NOMOnto;0.9166666666666666;5
RROnto;0.15384615384615385;1
PROnto;0.8461538461538461;5
AROnto;0.0;1
INROnto;0.16666666666666666;1
ANOnto;3.1666666666666665;5
TMOnto2;0.25;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.9326186830015314;1
NOCOnto;3.6200873362445414;4
CBOOnto;0.9399092970521542;1
RFCOnto;1.4773242630385488;5
NOMOnto;0.5374149659863946;5
RROnto;0.6362240982348427;4
PROnto;0.36377590176515734;2
AROnto;0.5351473922902494;3
INROnto;0.9399092970521542;5
ANOnto;1.981859410430839;5
TMOnto2;0.9399092970521542;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.921875;1
NOCOnto;3.5789473684210527;4
CBOOnto;0.8192771084337349;1
RFCOnto;1.5180722891566265;5
NOMOnto;0.6987951807228916;5
RROnto;0.5396825396825397;3
PROnto;0.4603174603174603;3
AROnto;0.8313253012048193;5
INROnto;0.8192771084337349;5
ANOnto;1.9518072289156627;5
TMOnto2;0.8192771084337349;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
